n,t_us,dec,bin,hex,volts
0,556,1611,011001001011,0x64B,1.298242
1,1847,3025,101111010001,0xBD1,2.437729
2,2805,3660,111001001100,0xE4C,2.949450
3,3722,3686,111001100110,0xE66,2.970403
4,4634,3135,110000111111,0xC3F,2.526374
5,5547,2186,100010001010,0x88A,1.761612
6,6456,1145,010001111001,0x479,0.922711
7,7389,314,000100111010,0x13A,0.253040
8,8293,16,000000010000,0x010,0.012894
9,9199,302,000100101110,0x12E,0.243370
10,10099,1081,010000111001,0x439,0.871136
11,11012,2127,100001001111,0x84F,1.714066
12,12006,3161,110001011001,0xC59,2.547326
13,50198,1197,010010101101,0x4AD,0.964615
14,51383,2551,100111110111,0x9F7,2.055751
15,52340,3413,110101010101,0xD55,2.750403
16,53238,3750,111010100110,0xEA6,3.021978
17,54147,3491,110110100011,0xDA3,2.813260
18,55005,2780,101011011100,0xADC,2.240293
19,55910,1748,011011010100,0x6D4,1.408645
20,56804,792,001100011000,0x318,0.638242
21,57731,141,000010001101,0x08D,0.113626
22,58641,61,000000111101,0x03D,0.049158
23,59538,551,001000100111,0x227,0.444029
24,60455,1472,010111000000,0x5C0,1.186227
25,63774,3660,111001001100,0xE4C,2.949450
26,64971,2817,101100000001,0xB01,2.270110
27,65858,1823,011100011111,0x71F,1.469084
28,66769,820,001100110100,0x334,0.660806
29,67689,145,000010010001,0x091,0.116850
30,68600,53,000000110101,0x035,0.042711
31,69515,528,001000010000,0x210,0.425495
32,70420,1432,010110011000,0x598,1.153993
33,71339,2497,100111000001,0x9C1,2.012234
34,72266,3364,110100100100,0xD24,2.710916
35,73177,3741,111010011101,0xE9D,3.014725
36,74074,3537,110111010001,0xDD1,2.850330
37,74979,2809,101011111001,0xAF9,2.263663
38,75880,1795,011100000011,0x703,1.446520
39,76783,806,001100100110,0x326,0.649524
