n,t_us,dec,bin,hex,volts
0,560,575,001000111111,0x23F,0.463370
1,1879,938,001110101010,0x3AA,0.755897
2,2849,1317,010100100101,0x525,1.061319
3,3770,1755,011011011011,0x6DB,1.414286
4,4681,2194,100010010010,0x892,1.768059
5,5581,2617,101000111001,0xA39,2.108938
6,6508,2998,101110110110,0xBB6,2.415970
7,7418,3293,110011011101,0xCDD,2.653699
8,8325,3485,110110011101,0xD9D,2.808425
9,9233,3553,110111100001,0xDE1,2.863223
10,10135,3505,110110110001,0xDB1,2.824542
11,11039,3328,110100000000,0xD00,2.681904
12,12010,3025,101111010001,0xBD1,2.437729
13,15862,1268,010011110100,0x4F4,1.021832
14,17040,812,001100101100,0x32C,0.654359
15,17980,581,001001000101,0x245,0.468205
16,18893,467,000111010011,0x1D3,0.376337
17,19807,473,000111011001,0x1D9,0.381172
18,20720,606,001001011110,0x25E,0.488352
19,21631,851,001101010011,0x353,0.685788
20,22545,1189,010010100101,0x4A5,0.958168
21,23445,1592,011000111000,0x638,1.282930
22,24342,2025,011111101001,0x7E9,1.631868
23,25256,2462,100110011110,0x99E,1.984029
24,26159,2861,101100101101,0xB2D,2.305568
25,29468,3554,110111100010,0xDE2,2.864030
26,30627,3422,110101011110,0xD5E,2.757656
27,31575,3176,110001101000,0xC68,2.559414
28,32478,2846,101100011110,0xB1E,2.293480
29,33334,2468,100110100100,0x9A4,1.988864
30,34232,2036,011111110100,0x7F4,1.640732
31,35147,1605,011001000101,0x645,1.293407
32,36067,1190,010010100110,0x4A6,0.958974
33,36984,886,001101110110,0x376,0.713993
34,37880,607,001001011111,0x25F,0.489158
35,38802,464,000111010000,0x1D0,0.373919
36,39694,468,000111010100,0x1D4,0.377143
37,40578,575,001000111111,0x23F,0.463370
38,41489,810,001100101010,0x32A,0.652747
39,42385,1122,010001100010,0x462,0.904176
