Valor_ADC_12bits	Frecuencia
601	1
621	1
629	1
630	3
632	4
633	3
634	1
635	1
636	9
637	11
638	5
639	8
640	26
641	41
642	39
643	25
644	35
645	39
646	31
647	13
648	24
649	26
650	20
651	25
652	23
653	23
654	20
655	19
656	19
657	18
658	16
659	11
660	19
661	20
662	11
663	11
664	12
665	15
666	14
667	17
668	14
669	15
670	13
671	10
672	14
673	22
674	10
675	11
676	16
677	12
678	15
679	7
680	17
681	12
682	11
683	5
684	12
685	10
686	12
687	9
688	13
689	10
690	11
691	6
692	4
693	15
694	12
695	9
696	9
697	9
698	7
699	9
700	8
701	11
702	6
703	8
704	5
705	5
706	5
707	4
708	9
709	10
710	6
711	14
712	10
713	9
714	3
715	4
716	7
717	6
718	8
719	7
720	12
721	8
722	9
723	7
724	4
725	10
726	4
727	3
728	5
729	7
730	2
731	4
732	8
733	4
734	5
735	8
736	1
737	5
738	9
739	9
740	7
741	4
742	9
743	5
744	7
745	11
746	4
747	6
748	5
749	7
750	2
751	8
752	6
753	1
754	4
755	7
756	4
757	7
758	9
759	2
760	6
761	9
762	9
763	3
764	9
765	4
766	14
767	8
768	5
769	5
770	7
771	5
772	7
773	2
774	7
775	3
776	5
777	6
778	6
779	6
780	4
781	5
782	5
783	5
784	5
785	4
786	7
787	7
788	5
789	3
790	5
791	7
792	7
793	6
794	8
795	3
796	4
797	9
798	5
799	2
800	2
801	6
802	5
803	6
804	6
805	6
806	3
807	7
808	1
809	6
810	6
811	5
812	6
813	5
814	7
815	6
816	5
818	3
819	4
820	3
821	4
822	3
823	3
824	8
825	10
826	6
827	7
828	8
829	4
830	5
831	4
832	5
833	5
834	3
835	9
836	7
837	6
838	4
839	2
840	3
841	2
842	4
843	8
844	5
845	5
846	9
847	5
848	5
849	6
850	6
851	2
852	4
853	3
854	7
855	6
856	2
857	3
858	3
859	4
860	4
861	1
862	5
863	4
864	1
865	5
866	5
867	5
868	2
869	2
870	3
871	2
872	3
873	9
874	2
875	3
876	6
877	3
878	4
879	5
880	2
881	4
882	2
883	6
884	6
885	9
886	8
887	2
888	4
889	4
890	6
891	5
892	9
893	5
894	4
895	3
896	5
897	3
898	4
899	7
900	4
901	4
902	3
904	5
905	3
906	3
907	4
908	4
909	4
910	2
911	1
912	8
913	2
914	6
915	7
916	3
917	1
918	5
920	4
921	4
922	4
923	4
924	5
925	6
926	7
927	9
928	7
929	5
930	6
931	5
932	3
933	5
934	4
935	3
936	1
937	5
938	6
939	6
940	3
941	5
942	3
943	2
944	4
945	4
946	4
947	2
948	5
949	2
950	2
952	4
953	2
954	1
955	3
956	3
957	8
958	2
959	6
960	3
961	3
962	2
963	2
964	6
965	2
966	2
967	4
968	4
969	2
970	3
971	4
972	3
973	2
974	2
975	2
976	4
977	4
978	4
979	5
980	3
981	5
982	5
983	2
984	2
985	3
987	6
988	2
989	4
990	4
991	3
992	3
993	2
994	5
995	5
996	1
997	1
998	3
999	3
1000	2
1001	5
1002	5
1003	5
1004	2
1005	3
1006	4
1008	4
1009	3
1010	2
1011	2
1012	3
1013	3
1014	6
1016	2
1017	4
1018	3
1019	2
1020	5
1021	6
1023	4
1024	3
1025	4
1026	4
1027	4
1028	4
1029	1
1030	3
1031	2
1032	3
1033	8
1034	2
1035	1
1036	3
1037	7
1038	10
1039	2
1040	4
1041	4
1042	4
1043	1
1044	5
1045	7
1046	5
1047	1
1048	2
1049	2
1050	4
1051	3
1052	3
1053	3
1054	6
1055	4
1056	5
1057	4
1058	2
1059	2
1060	2
1061	2
1062	4
1063	3
1064	2
1065	1
1066	2
1067	3
1068	6
1070	7
1071	4
1072	5
1073	5
1074	4
1075	4
1076	2
1077	4
1079	3
1080	3
1081	4
1082	4
1083	3
1084	1
1085	4
1086	2
1087	5
1088	1
1089	6
1090	1
1091	8
1092	1
1093	3
1094	2
1095	3
1096	4
1097	1
1098	1
1099	2
1100	7
1101	2
1102	2
1103	3
1104	3
1105	3
1106	4
1107	5
1108	3
1109	4
1110	2
1111	4
1112	3
1115	3
1116	2
1117	3
1118	3
1119	5
1120	2
1121	2
1122	3
1123	4
1124	3
1125	2
1126	2
1127	1
1128	1
1129	4
1130	3
1131	3
1132	2
1133	2
1134	4
1135	5
1136	3
1137	1
1138	4
1139	6
1140	3
1141	10
1142	1
1143	3
1144	4
1145	3
1146	4
1147	2
1148	3
1149	2
1150	3
1151	1
1152	3
1153	2
1154	3
1155	3
1156	4
1157	4
1158	2
1160	8
1161	4
1163	3
1165	4
1166	3
1167	2
1168	1
1169	3
1170	4
1171	2
1172	1
1173	2
1174	1
1175	3
1176	2
1177	1
1178	5
1179	1
1180	3
1181	1
1182	2
1183	2
1184	3
1185	1
1186	5
1187	5
1188	3
1189	5
1190	3
1191	1
1192	7
1193	1
1194	3
1195	3
1196	5
1197	3
1198	2
1199	1
1200	1
1201	2
1202	5
1203	3
1205	4
1206	6
1207	1
1208	2
1209	2
1210	3
1212	3
1213	2
1214	3
1215	4
1216	2
1217	3
1218	2
1219	1
1220	2
1221	4
1222	2
1223	1
1224	4
1226	5
1227	3
1228	5
1229	3
1231	3
1232	6
1233	7
1234	6
1235	1
1236	2
1237	2
1238	4
1239	1
1240	3
1241	2
1242	2
1243	5
1244	1
1245	2
1246	2
1248	2
1249	3
1250	4
1251	3
1252	3
1253	6
1254	3
1255	2
1256	1
1257	3
1258	1
1259	1
1260	4
1261	4
1262	3
1263	2
1264	3
1265	3
1266	3
1267	3
1268	3
1269	4
1270	4
1271	1
1272	3
1273	1
1274	3
1275	5
1276	3
1277	4
1278	1
1279	9
1280	4
1281	4
1282	3
1283	3
1284	1
1285	5
1286	1
1287	2
1288	2
1289	7
1290	1
1291	2
1292	1
1293	1
1294	2
1295	2
1296	4
1297	4
1298	7
1299	3
1300	10
1301	2
1302	4
1303	3
1304	2
1305	2
1306	3
1307	3
1308	3
1311	2
1312	4
1313	3
1314	2
1315	2
1316	3
1317	2
1318	3
1319	1
1320	5
1321	1
1323	2
1324	2
1325	1
1326	4
1327	4
1328	3
1329	3
1330	2
1331	4
1332	2
1333	3
1334	2
1335	2
1336	2
1337	3
1338	2
1339	3
1340	5
1341	4
1342	2
1343	1
1344	1
1345	3
1346	4
1347	1
1348	3
1349	3
1352	3
1353	2
1354	2
1355	5
1356	1
1357	4
1358	5
1359	1
1360	3
1361	4
1362	4
1363	5
1364	5
1365	2
1366	1
1367	1
1368	1
1369	2
1370	2
1371	1
1372	2
1373	2
1375	1
1376	4
1377	4
1378	5
1379	2
1380	6
1381	3
1382	3
1383	1
1384	2
1385	3
1386	4
1387	1
1388	4
1389	3
1390	2
1391	2
1392	2
1393	1
1394	3
1395	3
1396	2
1397	2
1398	1
1399	2
1400	1
1401	2
1402	1
1403	3
1404	4
1405	2
1406	2
1407	1
1408	2
1409	3
1410	3
1411	1
1412	1
1413	4
1414	1
1415	1
1416	4
1417	3
1418	4
1419	1
1421	1
1422	4
1424	2
1425	2
1426	2
1427	1
1428	6
1429	3
1430	2
1431	2
1432	4
1433	2
1434	4
1436	3
1437	2
1438	1
1440	2
1441	1
1442	4
1443	2
1444	3
1445	5
1446	1
1447	1
1448	2
1449	1
1450	2
1451	2
1452	2
1453	5
1454	3
1455	3
1456	4
1457	2
1458	3
1459	2
1460	6
1461	4
1462	3
1463	2
1464	2
1465	3
1466	1
1467	3
1468	1
1469	4
1471	2
1472	4
1473	3
1474	2
1475	1
1476	2
1477	4
1478	5
1479	4
1480	3
1481	2
1482	2
1483	1
1484	3
1487	2
1488	6
1489	3
1490	2
1491	4
1492	6
1493	5
1494	6
1496	2
1497	2
1498	2
1499	1
1500	3
1501	5
1502	2
1504	1
1505	8
1506	2
1507	1
1508	4
1509	4
1510	1
1511	1
1513	1
1514	4
1515	1
1516	2
1517	3
1518	1
1519	2
1520	1
1521	6
1522	1
1523	2
1524	1
1525	2
1526	5
1527	4
1528	4
1529	4
1530	3
1531	1
1532	2
1533	1
1536	1
1537	1
1538	5
1539	1
1540	1
1541	2
1542	2
1545	5
1546	4
1549	2
1551	3
1552	2
1553	2
1554	3
1555	4
1556	3
1557	7
1558	2
1559	2
1560	9
1561	4
1562	3
1563	2
1564	3
1565	1
1567	1
1568	1
1569	3
1570	3
1571	2
1572	3
1573	8
1575	2
1576	2
1577	5
1578	1
1579	2
1580	2
1581	4
1582	2
1583	1
1584	7
1585	3
1586	1
1587	2
1588	5
1589	2
1590	4
1591	3
1592	4
1593	3
1594	2
1595	3
1596	3
1597	1
1598	4
1599	2
1600	2
1601	1
1602	9
1603	1
1605	4
1606	3
1607	4
1608	1
1610	5
1611	3
1612	1
1613	1
1614	3
1615	4
1616	4
1617	1
1618	2
1619	2
1620	2
1621	4
1622	3
1624	4
1625	4
1626	3
1627	5
1628	2
1629	2
1630	3
1632	2
1633	3
1634	2
1635	1
1636	2
1637	1
1639	1
1640	4
1641	2
1642	3
1643	3
1644	2
1645	2
1646	6
1647	4
1648	1
1649	5
1650	1
1651	1
1652	2
1653	3
1654	4
1655	2
1656	1
1657	3
1658	5
1659	1
1661	2
1662	3
1665	1
1666	3
1667	2
1668	4
1669	1
1672	1
1673	2
1674	3
1675	2
1676	2
1679	2
1680	3
1681	1
1682	1
1683	1
1684	2
1685	4
1688	7
1689	1
1690	1
1691	4
1692	2
1693	1
1694	2
1695	1
1696	1
1697	1
1698	3
1699	2
1700	2
1701	3
1702	3
1704	2
1705	2
1706	4
1707	3
1708	2
1709	4
1710	3
1711	3
1712	1
1713	3
1714	1
1715	3
1716	1
1717	1
1718	3
1719	1
1720	4
1721	2
1722	3
1724	2
1725	2
1726	2
1727	1
1728	3
1729	2
1730	4
1731	2
1732	2
1733	2
1734	1
1735	1
1736	5
1737	2
1738	2
1739	3
1740	4
1741	4
1742	1
1743	2
1744	5
1745	2
1746	6
1747	1
1748	2
1749	2
1750	1
1753	5
1754	2
1755	6
1756	2
1757	1
1759	2
1760	5
1761	1
1762	4
1763	3
1765	2
1766	2
1767	1
1768	4
1769	2
1770	6
1771	2
1772	2
1773	1
1774	3
1775	2
1776	1
1777	3
1779	4
1780	1
1781	2
1782	4
1783	2
1784	2
1785	2
1786	3
1787	3
1788	5
1789	3
1790	8
1791	3
1792	4
1793	3
1794	4
1795	4
1796	1
1797	1
1798	2
1800	2
1801	1
1802	4
1803	2
1804	3
1805	2
1806	2
1807	2
1808	5
1809	2
1810	7
1811	1
1812	1
1813	2
1815	3
1816	3
1817	1
1818	2
1820	1
1821	1
1822	4
1824	1
1825	2
1826	1
1827	5
1828	3
1829	4
1830	1
1831	2
1832	2
1833	3
1834	1
1835	1
1836	3
1837	6
1839	1
1842	2
1843	2
1844	4
1845	3
1846	3
1847	2
1848	2
1849	2
1850	2
1851	2
1852	6
1853	1
1854	3
1855	6
1856	3
1857	1
1858	2
1861	1
1862	5
1863	1
1864	1
1865	3
1868	2
1869	3
1871	1
1872	3
1873	3
1874	1
1876	4
1879	1
1880	3
1881	4
1882	2
1883	2
1884	3
1885	2
1886	2
1887	1
1888	1
1889	3
1890	1
1891	1
1892	3
1893	2
1895	1
1896	2
1897	6
1898	2
1900	2
1901	5
1902	5
1903	2
1904	2
1905	4
1907	5
1908	3
1910	2
1911	2
1913	1
1914	1
1915	1
1916	2
1917	1
1918	2
1919	1
1921	5
1922	4
1924	3
1925	3
1926	4
1928	2
1930	1
1931	3
1932	8
1933	4
1934	4
1935	1
1936	3
1937	5
1938	1
1939	1
1940	4
1941	2
1942	1
1943	2
1944	2
1945	2
1946	3
1947	2
1948	4
1950	1
1951	3
1952	2
1954	3
1955	2
1956	2
1957	4
1960	5
1961	2
1962	1
1963	6
1964	2
1965	3
1966	1
1967	2
1968	2
1969	3
1970	1
1971	2
1973	3
1974	5
1975	2
1976	2
1977	3
1978	2
1979	3
1981	2
1983	1
1984	1
1985	5
1986	3
1987	1
1988	2
1989	1
1990	6
1991	4
1992	1
1993	4
1997	1
1998	4
1999	2
2000	1
2001	6
2002	1
2003	1
2004	1
2005	2
2006	2
2008	2
2009	4
2010	2
2011	1
2012	3
2013	2
2014	3
2015	2
2016	3
2017	2
2018	5
2019	1
2020	2
2021	3
2024	3
2025	1
2026	2
2027	2
2029	4
2030	1
2031	2
2032	2
2033	3
2034	3
2035	3
2036	6
2037	1
2039	1
2040	3
2041	1
2042	3
2043	5
2044	4
2045	2
2046	2
2048	5
2049	5
2050	2
2051	2
2052	1
2054	3
2057	6
2058	3
2059	1
2060	4
2061	1
2062	1
2063	1
2064	3
2065	3
2066	5
2067	1
2068	4
2071	3
2072	3
2074	3
2075	2
2076	2
2077	2
2078	1
2079	3
2080	3
2081	2
2082	2
2083	1
2084	4
2085	2
2086	1
2087	1
2088	3
2089	3
2090	2
2091	3
2092	1
2093	3
2094	2
2095	4
2096	2
2097	3
2098	1
2099	1
2100	6
2101	3
2102	1
2103	1
2104	1
2105	3
2106	3
2107	1
2108	2
2109	2
2110	4
2111	2
2112	2
2113	3
2114	3
2115	3
2116	3
2117	1
2118	2
2119	2
2120	2
2122	5
2123	3
2124	4
2125	1
2126	2
2127	1
2128	5
2129	1
2130	6
2131	2
2133	4
2134	6
2135	2
2136	2
2137	3
2138	1
2139	3
2140	2
2141	2
2142	4
2143	2
2144	2
2145	3
2146	7
2147	3
2148	4
2149	5
2151	2
2152	3
2153	1
2154	1
2155	3
2156	3
2157	4
2158	3
2159	3
2160	3
2161	2
2162	3
2163	3
2164	6
2165	1
2166	2
2167	4
2168	2
2169	2
2170	2
2171	1
2172	5
2173	3
2176	2
2177	2
2178	1
2180	3
2181	2
2182	2
2183	2
2184	4
2185	3
2186	3
2187	2
2188	3
2189	1
2190	1
2191	1
2192	2
2193	1
2194	1
2195	2
2196	1
2197	2
2198	1
2199	2
2200	3
2201	2
2202	1
2203	1
2204	1
2205	3
2206	5
2207	1
2208	2
2210	3
2211	3
2212	3
2213	1
2214	3
2215	1
2216	4
2217	4
2218	1
2219	4
2220	3
2221	3
2222	1
2223	1
2224	2
2225	1
2226	2
2228	2
2229	1
2230	2
2231	1
2233	1
2234	2
2235	4
2236	3
2237	4
2238	1
2239	2
2240	4
2241	6
2242	3
2243	1
2244	2
2245	4
2246	3
2247	2
2248	3
2249	5
2250	2
2251	2
2252	1
2254	3
2255	2
2256	4
2257	3
2258	2
2259	4
2260	3
2261	2
2263	5
2264	2
2265	3
2266	2
2267	3
2268	4
2269	1
2270	1
2271	2
2272	1
2273	2
2274	2
2275	2
2276	4
2277	2
2278	3
2279	2
2280	4
2281	4
2282	5
2283	3
2284	1
2285	1
2286	3
2287	2
2288	1
2289	1
2290	3
2291	6
2292	3
2293	3
2294	5
2295	1
2296	4
2298	4
2299	2
2300	2
2302	1
2303	1
2304	3
2305	4
2306	1
2307	1
2308	2
2309	3
2310	1
2311	3
2312	1
2313	3
2314	2
2315	1
2316	4
2317	3
2318	5
2320	4
2322	1
2324	3
2325	4
2327	2
2328	3
2329	4
2330	3
2331	1
2332	1
2333	2
2334	3
2336	2
2339	1
2340	4
2341	2
2342	1
2343	4
2344	2
2345	2
2347	1
2348	3
2349	5
2350	3
2351	1
2352	3
2353	2
2354	1
2355	3
2356	4
2357	7
2358	1
2359	3
2360	6
2361	2
2362	2
2363	3
2364	3
2365	3
2366	3
2368	3
2369	1
2370	3
2371	1
2372	2
2373	1
2374	3
2375	2
2376	3
2377	4
2378	4
2379	2
2380	2
2381	1
2382	4
2383	2
2384	4
2385	2
2386	1
2387	3
2388	1
2389	3
2390	1
2391	1
2393	1
2394	4
2395	1
2397	4
2398	5
2399	1
2400	3
2401	2
2402	2
2403	2
2404	3
2405	2
2406	5
2407	1
2408	5
2409	2
2410	1
2412	2
2413	2
2415	2
2416	1
2418	1
2419	2
2420	2
2421	4
2422	4
2423	1
2424	1
2425	3
2426	1
2427	1
2428	2
2429	2
2430	2
2431	1
2433	1
2434	4
2435	2
2436	2
2438	3
2439	1
2440	2
2441	3
2442	2
2443	2
2444	2
2446	4
2447	5
2448	3
2449	6
2450	2
2451	7
2452	2
2453	3
2454	1
2455	3
2456	3
2457	3
2459	5
2460	3
2461	3
2462	1
2463	4
2464	2
2465	5
2466	1
2467	1
2468	2
2469	2
2470	1
2471	1
2472	4
2473	3
2474	4
2475	2
2476	2
2477	6
2478	1
2479	3
2480	1
2481	3
2482	2
2483	3
2484	1
2485	1
2486	4
2487	3
2488	2
2489	1
2490	4
2491	4
2492	3
2493	2
2494	7
2495	4
2496	2
2497	1
2498	3
2500	2
2501	2
2502	6
2504	3
2505	2
2506	6
2507	4
2508	5
2509	5
2510	4
2511	2
2512	3
2513	3
2514	3
2515	2
2516	2
2517	3
2518	4
2520	3
2522	1
2523	3
2524	1
2525	6
2527	5
2528	3
2530	2
2531	4
2532	3
2533	1
2534	5
2535	3
2536	3
2537	5
2538	2
2539	3
2540	2
2541	5
2542	3
2543	3
2544	2
2546	2
2547	2
2549	4
2550	2
2551	1
2552	1
2553	2
2554	1
2555	1
2556	2
2557	2
2558	1
2561	1
2562	2
2563	2
2564	1
2565	4
2566	2
2567	2
2568	4
2569	6
2570	2
2571	4
2572	2
2573	2
2574	5
2576	3
2577	4
2578	4
2579	1
2580	1
2581	2
2582	2
2583	2
2584	5
2585	1
2586	2
2587	1
2588	3
2589	2
2590	3
2591	4
2592	2
2593	4
2594	3
2595	5
2596	3
2597	1
2598	2
2599	1
2600	3
2601	3
2603	1
2604	2
2605	2
2606	2
2608	4
2609	7
2610	4
2611	2
2612	1
2613	7
2614	3
2615	1
2616	3
2617	5
2618	2
2619	3
2620	2
2621	2
2622	2
2623	1
2624	2
2625	1
2626	2
2627	1
2628	2
2629	1
2630	1
2631	1
2632	2
2633	1
2634	1
2636	3
2637	6
2638	2
2639	2
2640	3
2642	1
2643	2
2644	3
2645	1
2646	4
2647	1
2648	2
2649	1
2650	2
2651	2
2652	3
2653	3
2654	4
2656	5
2657	2
2658	2
2659	2
2660	2
2661	1
2663	1
2664	1
2665	1
2666	3
2667	1
2670	2
2671	3
2672	2
2674	4
2675	3
2676	2
2677	2
2678	1
2679	1
2681	4
2682	2
2683	2
2685	2
2686	3
2688	2
2689	1
2690	3
2691	3
2692	3
2693	2
2694	1
2695	2
2696	7
2697	1
2698	3
2699	1
2700	2
2701	3
2702	1
2703	3
2704	2
2705	5
2706	3
2707	1
2708	1
2709	5
2710	1
2711	1
2712	2
2713	2
2714	3
2715	1
2716	2
2717	1
2718	3
2719	3
2720	2
2721	1
2722	3
2723	4
2724	3
2725	2
2726	4
2727	4
2728	2
2729	1
2730	4
2731	2
2733	4
2735	4
2736	2
2737	3
2738	3
2739	1
2740	2
2741	3
2742	1
2743	3
2744	4
2745	3
2746	5
2747	1
2748	6
2749	2
2750	4
2751	5
2753	3
2754	1
2755	1
2756	1
2757	4
2758	1
2759	1
2760	3
2761	4
2762	5
2763	1
2764	1
2765	1
2766	1
2767	5
2768	6
2769	2
2770	4
2771	2
2772	3
2773	7
2774	5
2775	2
2776	1
2777	2
2778	2
2779	1
2780	5
2781	4
2782	5
2783	1
2784	2
2785	3
2786	3
2788	5
2789	3
2790	6
2791	2
2792	4
2793	3
2794	5
2795	2
2797	3
2798	2
2799	2
2800	5
2801	1
2802	4
2803	1
2804	3
2805	3
2806	3
2807	2
2808	1
2809	1
2810	6
2811	1
2812	2
2813	5
2815	4
2816	3
2817	5
2818	1
2819	4
2820	1
2821	3
2822	2
2824	2
2825	3
2826	2
2827	2
2829	2
2830	2
2831	1
2832	4
2833	3
2834	6
2836	5
2837	2
2838	3
2839	1
2840	1
2841	3
2842	1
2843	3
2844	5
2845	2
2846	3
2847	1
2848	4
2849	3
2851	1
2853	5
2854	3
2856	3
2857	2
2858	1
2859	2
2860	3
2861	2
2862	4
2863	5
2864	3
2865	2
2867	1
2868	4
2869	5
2870	1
2871	3
2872	1
2873	6
2874	4
2875	6
2876	2
2877	1
2878	2
2879	1
2880	1
2881	4
2883	2
2884	5
2885	5
2886	2
2887	1
2888	3
2889	4
2890	5
2891	5
2892	2
2893	1
2894	3
2895	2
2896	3
2897	2
2898	3
2899	3
2900	2
2901	1
2902	2
2903	4
2904	1
2905	2
2906	1
2907	3
2908	2
2909	2
2910	2
2911	1
2912	6
2913	4
2915	2
2916	2
2918	3
2919	2
2921	3
2922	3
2923	4
2924	3
2925	3
2926	5
2927	4
2928	6
2929	5
2930	2
2931	5
2932	1
2933	4
2934	5
2935	6
2936	2
2937	5
2938	1
2940	2
2941	5
2942	3
2943	1
2944	2
2945	5
2946	3
2947	2
2948	4
2949	3
2950	3
2953	4
2954	3
2955	8
2956	5
2957	2
2958	2
2959	2
2960	3
2961	1
2962	4
2963	6
2964	1
2965	6
2966	5
2967	2
2968	2
2969	6
