Tiempo_ms	Voltaje_V
0	0.88483
1	1.83654
1	1.44246
2	1.92844
2	1.07986
3	2.26687
3	0.89450
4	2.35393
4	0.90659
5	2.31768
5	1.03232
6	2.21531
6	1.16365
6	2.02190
7	1.40379
7	1.65043
8	1.75758
8	1.32161
9	1.86882
9	1.32806
10	2.05332
10	1.06133
11	2.25881
11	0.92834
12	2.19517
12	0.98796
13	2.29915
13	0.89047
14	2.34749
14	0.91787
15	2.33299
15	0.88081
16	2.34829
16	0.88564
17	2.34749
17	0.92109
18	2.30882
18	0.97104
19	2.32090
19	0.90981
20	2.32171
20	0.93559
21	2.32654
21	0.89853
22	2.35152
22	0.91867
23	2.29190
23	0.98232
24	2.12991
24	1.97919
25	1.08228
26	2.24673
26	0.95493
27	2.27417
27	0.92915
28	2.35071
28	0.91787
29	2.32090
29	0.91545
30	2.30882
30	0.96701
31	2.01062
31	1.24588
32	1.96066
33	2.17100
33	0.94123
34	2.34991
34	0.98554
35	2.22981
35	1.06938
36	2.01464
36	1.34256
37	1.78175
37	1.61332
38	1.35787
38	1.98886
39	1.11934
40	2.34427
40	1.58753
41	1.36190
42	2.14602
42	0.91787
43	2.34668
43	0.92270
44	2.23706
44	1.12659
45	1.89540
45	1.59317
46	1.37801
46	2.03720
47	1.00488
48	2.33460
48	0.90659
49	2.24592
49	1.32967
50	1.56256
50	2.00095
51	0.89450
52	2.34427
52	0.97990
93	2.33218
93	1.57948
94	1.75114
94	1.36592
95	1.72616
95	1.32564
96	0.88483
97	2.31607
97	1.05649
98	2.18308
98	1.24507
98	1.78336
99	1.72777
99	1.22005
100	2.02915
100	1.04119
101	2.30157
101	0.89289
102	2.34749
102	0.93881
103	2.20242
103	1.19185
103	1.94374
104	1.28536
104	1.81881
105	1.56417
105	1.49569
106	1.91716
106	1.25957
107	2.14199
107	1.16284
108	2.18550
108	0.98474
109	1.88010
109	1.28697
110	1.38687
111	2.27337
111	0.89772
112	0.90498
113	2.29754
113	0.92109
114	2.34749
114	0.88483
115	2.32171
115	0.93398
116	2.31929
116	0.93237
117	2.31929
117	0.93076
118	2.34991
118	0.88645
119	2.34668
119	0.89047
120	2.34749
120	0.89047
121	2.34588
121	0.88564
122	2.34668
122	0.89209
123	2.33057
123	0.93881
124	2.26526
124	1.21602
125	1.83009
125	1.46024
126	1.39976
126	1.94858
127	1.18701
128	2.31204
128	0.89853
129	2.35796
129	0.88967
130	2.29512
130	1.06213
131	1.80109
131	1.60123
132	1.19749
133	2.35071
133	0.90659
134	2.26526
134	1.19668
135	1.24668
136	2.30479
136	0.97265
137	1.86157
138	2.19919
138	0.88242
139	2.23545
139	1.26844
140	1.39573
141	2.30157
141	0.88645
142	2.31687
142	1.52066
143	1.04763
144	2.33702
144	1.13706
146	2.06545
147	2.14763
147	0.92995
191	1.29502
192	1.14109
192	1.96953
193	1.10483
194	2.05654
194	1.43521
194	1.89621
195	1.63990
195	1.57545
196	1.85995
196	1.14109
197	2.26123
197	0.89209
198	2.34991
198	0.98877
199	2.12265
199	1.27649
199	2.03317
200	1.33692
200	1.68829
201	1.78739
201	1.83815
202	1.30469
202	1.95341
203	1.49408
203	1.71569
204	1.69796
204	1.48119
205	1.54564
205	1.57384
206	1.81720
206	1.79948
207	1.01938
208	2.12668
208	1.17171
208	1.98806
209	0.92834
210	2.27981
210	1.00649
211	2.20564
211	0.90900
212	2.22900
212	1.09597
213	1.66171
213	2.02995
214	0.93640
215	2.26934
215	1.01294
216	2.15247
216	1.95905
217	0.94284
218	1.80190
219	2.22900
219	0.95412
220	2.30237
220	1.00246
221	2.04526
221	1.73180
223	1.23535
224	2.10171
224	0.90336
225	2.05412
225	1.26924
226	1.88171
226	1.64393
227	1.27649
228	2.08076
228	0.89289
229	2.35071
229	0.90498
230	2.28384
230	1.03152
231	2.10251
231	1.62460
232	1.08147
233	2.25076
233	0.91787
234	2.34910
234	1.01535
235	2.07029
235	1.97275
236	1.13062
237	2.29754
237	1.01777
238	2.07351
238	1.96389
239	1.01858
240	2.33460
240	0.93237
241	2.13877
241	1.44654
242	1.43843
243	2.19033
243	0.90739
244	1.98322
244	1.52147
245	1.39412
246	2.34266
246	1.23943
247	1.66090
294	1.87043
295	2.33540
295	0.95412
296	2.35152
296	0.90739
297	2.27740
297	1.07905
297	1.93649
298	1.51905
298	1.43602
299	1.85995
299	1.12256
300	1.60043
301	2.17261
301	1.23374
301	1.94938
302	1.34417
302	1.66574
303	1.24427
303	2.00498
304	1.41829
305	2.17502
305	0.96943
306	2.34185
306	1.15640
307	1.42635
308	2.23303
308	1.09597
308	1.99289
309	1.30469
309	1.78981
310	1.63104
311	2.29431
311	1.00810
312	2.32493
312	1.29664
313	1.97597
313	1.42152
314	1.07583
315	2.10090
315	1.01374
316	1.65607
318	2.08076
318	1.19265
318	1.96791
319	1.10483
320	1.86559
320	1.34900
321	1.74228
321	1.46427
322	1.82848
322	1.38768
323	1.80190
323	1.43521
324	1.83896
324	1.45540
325	1.76000
325	1.48441
326	1.71005
326	1.79464
327	1.36753
327	1.93891
328	1.24346
329	2.24109
329	0.94768
330	2.34668
330	0.88483
331	2.33299
331	0.93156
332	2.11460
332	1.25071
333	1.66171
333	1.70521
334	1.18460
335	2.16133
335	0.99279
336	2.32251
336	0.95734
337	2.11621
337	1.27891
338	1.75758
338	1.68910
339	1.02744
340	2.35232
340	0.97104
341	2.12910
341	1.27810
342	1.74308
342	1.75517
343	1.24104
344	2.32412
344	1.00810
345	2.04607
345	1.54806
346	1.10000
347	2.33863
347	1.06294
348	1.39171
349	2.32493
349	0.89531
435	0.98313
436	2.20806
436	1.06052
437	1.96953
437	1.03313
438	1.87043
438	1.13706
439	2.27820
439	1.36431
440	1.50536
440	1.50374
441	1.99611
441	1.61734
442	1.85104
442	1.18218
443	2.22095
443	0.98232
444	2.33540
444	0.89128
445	2.34024
445	0.89209
446	2.33702
446	0.96540
447	2.31043
447	0.91867
448	2.34346
448	0.95332
449	2.20161
449	1.26683
450	1.77047
450	1.36512
451	1.34175
452	2.34346
452	0.89289
453	2.32815
453	0.92834
454	2.32574
454	1.16204
455	2.11138
455	1.07583
456	2.20000
457	2.21450
457	1.38687
458	1.87687
459	2.34104
459	1.07986
460	2.19194
461	2.30318
461	1.08953
462	1.72777
462	1.50697
463	1.53114
463	1.81398
464	1.42796
465	2.15810
465	1.00569
466	1.94052
467	2.33540
467	0.89772
468	2.34991
468	0.89047
469	2.34507
469	1.31194
470	0.89128
471	2.33299
471	0.92512
472	0.89853
473	2.35313
473	1.18782
474	1.62298
475	2.28626
475	1.98645
478	2.22578
478	0.93479
479	2.28465
480	2.23142
480	1.59801
481	0.92915
482	1.11531
483	1.91393
484	2.28465
484	1.18057
485	1.85673
485	1.86721
486	1.00407
487	2.32815
487	0.88725
488	2.16777
488	1.85346
489	0.99441
490	2.34346
490	0.92431
491	1.69555
491	1.83896
492	1.11450
493	2.30882
493	0.87839
494	2.25076
494	1.18943
495	1.79787
537	1.18298
538	1.33289
539	2.34910
539	0.94526
540	2.08640
540	0.97346
541	1.60768
541	1.34095
542	0.93720
543	1.94052
543	1.08791
544	2.12265
544	0.93076
545	2.34427
545	0.90095
546	1.51261
546	1.76967
547	0.92028
548	1.20313
548	1.87043
549	1.50858
549	1.86559
550	1.56256
550	1.44412
551	1.16768
551	1.90829
552	1.05327
553	2.34910
553	0.91384
554	1.51502
554	1.91232
555	1.02502
556	2.29754
556	0.89853
557	2.35071
557	0.90417
558	1.28938
558	1.86318
559	0.88886
560	1.08791
561	2.26365
561	1.12981
562	2.04365
562	1.20071
563	2.08237
563	1.16365
564	2.11460
564	1.06455
565	1.62057
565	1.60687
566	1.58673
566	1.63346
567	1.52147
567	1.82445
568	0.94929
569	0.99843
570	1.95100
570	1.68749
571	1.51905
571	1.87446
572	0.89128
573	2.30882
573	0.94768
574	2.23545
580	2.34024
580	0.91545
581	2.12507
581	1.33853
582	1.12981
583	1.79303
584	2.18550
584	1.28374
585	1.65365
585	1.94777
586	0.87758
587	2.27578
588	2.16938
589	2.15488
590	2.21370
590	1.98161
591	0.89289
592	2.27901
593	2.26123
593	0.89128
594	2.17664
595	2.07512
595	1.61573
596	1.15479
597	2.33379
598	2.07834
598	0.89531
599	2.23464
600	2.28706
601	2.34910
601	1.30147
602	1.68829
602	1.84540
603	1.30711
604	1.63668
605	1.29905
651	1.32645
652	1.97033
653	0.90095
654	1.56578
654	1.88412
655	0.88806
656	0.89209
657	2.25237
657	1.45057
658	0.91464
659	1.04199
660	2.12588
660	0.96621
661	0.93881
662	2.17100
662	1.27649
662	1.75678
663	1.48924
664	0.97104
665	2.14360
665	1.24024
665	1.77934
666	1.42957
667	0.88322
668	0.93720
669	1.34095
670	2.24834
671	2.33540
671	0.96460
672	1.20957
673	2.15488
673	1.80109
674	1.57223
675	2.18791
676	2.15488
676	1.83493
677	1.36592
678	1.99209
678	1.90024
679	1.03957
680	0.95332
681	2.23948
681	1.97597
682	1.30550
683	1.01374
684	2.18872
685	2.24028
686	2.04607
686	1.23943
686	1.93166
687	1.01052
688	0.89370
689	1.09114
690	0.99038
691	1.10564
692	2.01787
692	1.96953
693	1.22488
694	2.28867
695	2.07109
695	0.90175
698	2.34266
698	0.91545
699	2.21370
699	1.09355
700	1.99289
700	1.37156
701	1.74147
702	2.15247
702	1.01858
703	2.27337
703	0.91545
704	2.33621
704	0.95815
705	2.09204
705	1.28133
706	1.79867
706	1.74711
707	0.93881
708	2.34829
708	0.89128
709	2.28062
709	1.11289
710	1.98483
710	1.48280
711	1.15720
712	2.20564
712	0.92834
713	2.35313
713	0.93720
714	2.16697
714	1.30711
715	1.65043
715	1.87446
716	1.15881
717	2.26526
717	0.88483
718	2.30962
718	1.53597
719	1.42393
805	2.18147
805	0.91706
806	2.18711
806	0.91867
807	2.34588
807	1.02422
807	1.95664
808	1.53678
808	1.40862
809	2.04123
809	1.28052
810	2.12910
810	0.93962
811	2.29754
811	0.88564
812	2.29995
812	0.89047
813	2.32896
813	0.88645
814	2.33218
814	0.99360
815	2.10815
815	1.24427
815	1.87526
816	1.52147
816	1.54483
817	1.84379
817	1.22166
818	1.82607
818	1.32806
819	2.05009
819	1.36028
820	1.95825
820	1.16848
821	2.12991
821	0.99843
822	2.28384
822	0.90175
823	2.19839
823	1.03877
824	2.22659
824	0.99602
825	2.22900
825	0.96943
826	2.30962
826	1.00005
827	2.25559
827	0.95171
828	2.03559
828	1.95019
829	1.30389
829	1.93327
830	1.29664
830	1.91232
831	1.35142
831	1.91796
832	1.29019
832	1.92441
833	1.24910
834	2.19194
834	1.00649
835	2.28626
835	0.93640
836	2.31446
836	0.98152
837	1.92038
837	1.40540
838	1.76242
839	2.08640
839	1.06455
840	2.24592
840	0.94848
841	2.20322
841	1.16123
842	1.82848
842	1.55611
843	1.24266
844	2.31365
844	1.11611
845	1.94616
845	1.48924
846	1.40218
847	2.04526
847	1.03232
848	2.32332
848	1.10645
849	1.94536
849	1.53114
850	1.48199
851	2.34104
851	1.01938
852	2.02834
853	2.27981
853	0.88645
854	2.31285
854	1.66412
855	1.30228
856	2.18550
856	0.90095
857	2.35152
897	1.14351
898	1.43441
899	2.33379
899	0.90175
900	2.34749
900	0.92190
901	2.21289
901	0.92028
902	2.34910
902	0.97104
903	2.04768
903	0.88725
904	2.32332
904	0.92673
905	1.95341
905	1.08308
906	2.18872
906	0.91303
907	1.34820
907	1.66976
908	1.70119
908	1.31839
909	2.11299
909	1.86157
910	1.53436
911	2.32574
911	0.96540
912	2.16213
912	0.88967
913	2.33863
913	0.95734
914	2.21047
914	0.92512
915	2.27176
915	1.05488
916	2.36038
916	0.92834
917	2.33621
917	0.92190
918	1.62379
919	2.09768
919	1.08872
920	1.76322
920	2.02834
921	0.90981
922	2.34991
922	0.88645
923	2.35152
923	0.88645
924	2.34346
924	0.88967
925	2.34104
925	0.88483
926	2.34991
926	0.87758
927	2.35313
927	0.88645
928	2.35313
928	0.88725
929	2.35071
929	0.89209
930	2.33621
930	0.95573
931	1.02986
932	2.04365
932	1.35706
933	1.75355
934	2.23464
934	0.96298
935	0.88483
936	2.34991
936	0.90336
937	2.28867
